"","locationID","locationName","locationType","LongitudeMeasure","LatitudeMeasure"
"86","UTG170066","ASHLEY NATIONAL FOREST","FEDERAL",-109.528671,40.461109
"87","UTR376861","ASHLEY REGIONAL MEDICAL CENTER","NON-POTW",-109.531351,40.45711
"88","UTR382529","ASHLEY REGIONAL MEDICAL CENTER","NON-POTW",-109.531351,40.45711
"89","UTR370781","ASHLEY SPRINGS WATER TREATMENT PLANT","NON-POTW",-109.616834,40.571398
"90","UT0000035","ASHLEY VALLEY OPERATING COMPANY, LLC","NON-POTW",-109.414844,40.367113
"91","UTG640003","ASHLEY VALLEY SPRINGS","NON-POTW",-109.481389,40.229664
"92","UTL025411","ASHLEY VALLEY WATER REC FAC","NON-POTW",-109.457939,40.426069
"93","UT0025348","ASHLEY VALLEY WATER REC FACIL","POTW",-109.457939,40.426069
"94","UTL025348","ASHLEY VALLEY WATER REC. FACIL","NON-POTW",-109.48549,40.40494
"95","UTG640027","ASHLEY VALLEY WTP","NON-POTW",-109.57585,40.506809
"96","UTR274195","ASPHALT MATERIALS","NON-POTW",-111.955219,40.493224
"97","UTR274173","ASPHALT MATERIALS INC.","NON-POTW",-111.925278,40.606389
"98","UTR000981","ASPHALT SYSTEMS INC","NON-POTW",-111.959344,40.737752
"99","UTR000324","ASSOCIATED FOOD STORES","NON-POTW",-111.942588,40.725884
"100","UT0025755","ATI TITANIUM","NON-POTW",-112.736025,40.910218
"101","UTR001005","ATK AEROSPACE STRUCTURES DIVISION","FEDERAL",-112.045833,41.104167
"102","UTR000529","ATK LAUNCH SYSTEMS INC","NON-POTW",-112.432,41.663
"103","UT0024805","ATK LAUNCH SYSTEMS INC","NON-POTW",-112.432,41.663
"104","UTR000589","ATK SPACE STRUCTURES","NON-POTW",-112.080149,40.68202
"105","UTR000015","ATK THIOKOL INC.","NON-POTW",-112.091908,40.668325
"106","UTR000546","ATK THIOKOL INC. COMPONENT REFURBISHMENT CENTER","NON-POTW",-112.081333,41.10411
"107","UTG070917","ATLANTIC AVIATION NEW FBO","NON-POTW",-111.957452,40.777711
"108","UTR105407","AUGUST FARMS SUBDIVISION","NON-POTW",-111.94844,40.68713
"109","UTR001008","AUTO MOTO","NON-POTW",-113.08718,37.6974
"110","UT0024911","AUTOLIV ASP INC, PROMONTORY PLANT","NON-POTW",-112.22695,41.57523
"111","UTR000026","AUTOLIV BRIGHAM","NON-POTW",-112.02989,41.51606
"112","UTR000516","AUTOLIV MODULE.","NON-POTW",-111.95413,41.20373
"113","UTR000566","AUTOLIV OGDEN","NON-POTW",-112.000546,41.20472
"114","UTR000002","AUTOLIV TREMONTON","NON-POTW",-112.181606,41.733057
"115","UTR000029","AUTOMOTIVE SAFETY PRODUCTS PROMONTORY","NON-POTW",-112.22695,41.57523
"116","UTR000989","BACKUS PIT","NON-POTW",-112.058782,41.617732
"117","UTR000584","BAKER PETROLITE CORPORATION","NON-POTW",-109.499741,40.445981
"118","UTR000158","BAKER WASTE WATER LAGOON","NON-POTW",-113.041085,40.191607
"119","UTR379921","BAKSTON FRIEGHT","NON-POTW",-113.09221,37.69486
"120","UTR259529","BALLARD AUTO WRECKING AND REPAIR","NON-POTW",-113.28124,37.1851
"121","UTG040011","BANNING COAL LOADOUT FACILITY","NON-POTW",-110.567377,39.516633
"122","UTR000069","BARNES AEROSPACE","NON-POTW",-111.994517,41.247142
"123","UTR000325","BARNEY TRUCKING INC","NON-POTW",-111.86712,38.954352
"124","UTR287425","BASIN INDUSTRIES","NON-POTW",-110.817384,39.552934
"125","UTR000841","BASIN INDUSTRIES","NON-POTW",-109.504219,40.441349
"126","UTR000329","BASIN WESTERN INC","NON-POTW",-111.92315,40.85834
"127","UTR380311","BATESVILLE AND ERDA UTAH STAKE","NON-POTW",-112.327214,40.601513
"128","UTR260267","BAUER PIT ","NON-POTW",-112.435777,40.491719
"129","UTR000982","BAUER READY MIX & AGGREGATE FACILITY","NON-POTW",-112.354064,40.472666
"130","UTR000104","BAYVIEW LAND FILL","NON-POTW",-111.957373,39.962048
"131","UTR262191","BAYVIEW LANDFILL","NON-POTW",-111.95619,39.95249
"132","UTR000517","BD MEDICAL SYSTEMS","NON-POTW",-111.891601,40.580781
"133","UTR010510","BEAR LAKE READY MIX","NON-POTW",-111.398675,41.949914
"134","UT0020311","BEAR RIVER - TOWN OF","POTW",-112.138778,41.601083
"135","UTR000037","BEAR RIVER CONTRACTORS","NON-POTW",-113.584094,37.109051
"136","UTG170057","BEAR RIVER MIGRATORY BIRD REFUGE","FEDERAL",-112.055672,41.509861
"137","UTR381671","BEAUFONTAINE SUBDIVISION","NON-POTW",-111.39972,40.50312
"138","UTR372323","BEAVER CITY AIRPORT","NON-POTW",-113.116111,38.429528
"139","UTR000699","BEAVER COUNTY CLASS I","NON-POTW",-112.61967,38.27703
"140","UTR000860","BECK STREET FACILITY","NON-POTW",-111.91602,40.80437
"141","UTR000561","BECTON, DICKINSON & COMPANY","NON-POTW",-74.208185,41.015997
"142","UTR260155","BEEF HOLLOW","NON-POTW",-111.941063,40.458853
"143","UTR384187","BEEHIVE SELF STORAGE","NON-POTW",-112.296884,40.558701
"144","UTR105080","BELLE MONTE CONDOMINIUMS","NON-POTW",-111.872767,40.511649
"145","UTR270897","BENJAMIN PIT AND ASPHALT PLANT","NON-POTW",-111.806362,40.098936
"146","UTR363167","BENSON MILL 6","NON-POTW",-112.29828,40.530778
"147","UTL026077","BERYL JUNCTIO ECODRUM TREATMENT FACILITY","NON-POTW",-113.69189,37.72229
"148","UTR000872","BIGWATER","NON-POTW",-111.658056,37.086389
"149","UTR000950","BIMBO BAKERIES USA, INC.","NON-POTW",-111.89974,40.69671
"150","UTR358445","BINKS ROWLEY CHATEAU SPRINGVILLE","NON-POTW",-111.62263,40.1708
"151","UTG170080","BIO-WEST, INC.","NON-POTW",-111.86018,41.75797
"152","UTR001014","BIRCH CREEK GOLF COURSE MAINTENANCE BLDG","NON-POTW",-111.80592,41.83803
"153","UTR105918","BISON RIDGE","NON-POTW",-111.967343,40.554783
"154","UTR376431","BLACK ROCK RIDGE","NON-POTW",-111.38337,40.493486
"155","UTR000862","BLAKES RECYCLE & SALVAGE, INC","NON-POTW",-113.549982,37.039509
"156","UTR000295","BLANCHARD METALS PROCESSING","NON-POTW",-111.95802,40.74546
"157","UTR386355","BLANDING EAST SIDE SEWER","FEDERAL",-109.470026,37.630666
"158","UTR358275","BLANDING MUNICIPAL AIRPORT","NON-POTW",-109.480018,37.581094
"159","UTR010524","BLANDING PIT","NON-POTW",-109.448889,37.660556
"160","UTG640019","BLANDING WATER TREATMENT PLANT","NON-POTW",-109.47887,37.62395
"161","UTR000601","BLAZZARD LUMBER COMPANY,INC","NON-POTW",-111.280742,40.634787
"162","UTR306453","BLOCK 75 REDEVELOPOMENT PROJECT","NON-POTW",-111.89116,40.76718
"163","UTR000837","BLOOM RECYCLERS, LLC","NON-POTW",-111.996433,41.226982
"164","UTR000769","BLUE BENCH LANDFILL","NON-POTW",-110.374466,40.270327
"165","UT0025763","BLUE SKY RANCH AND RESORT","NON-POTW",-111.40763,40.8114
"166","UTL025763","BLUE SKY RANCH AND RESORT","NON-POTW",-111.451252,40.682692
"167","UTG640047","BLUFF WATER WORKS WATER TREATMENT PLANT","NON-POTW",-109.54669,37.286693
"168","UT0025968","BLUFFDALE COOLING WATER EFFLUENT REUSE","NON-POTW",-111.934093,40.443992
"169","UTR260217","BMC WEST - WEST JORDAN","NON-POTW",-111.93168,40.60772
"170","UTR000588","BMW STONE","NON-POTW",-111.400471,40.718283
"171","UTR000122","BOART LONGYEAR COMPANY","NON-POTW",-111.95657,40.73312
"172","UTR259281","BOART LONGYEAR DRILLING SERVICE","NON-POTW",-111.9589,40.74034
"173","UTR259283","BOARTLONGYEAR DRILLING SERVICES","NON-POTW",-111.95577,40.73776
"174","UTR000672","BOB'S CONCRETE","NON-POTW",-112.11282,41.16885
"175","UTR264897","BOB'S SANITATION TRANSFER STATION","NON-POTW",-109.513529,38.538506
"176","UTG589407","BONANZA, TOWN OF WWTF","POTW",-109.179648,40.020687
"177","UTR000277","BONNEVILLE MACHINE","NON-POTW",-111.94325,40.73779
"178","UTR000014","BONNEVILLE PRODUCTION CENTER","NON-POTW",-111.96924,40.72148
"179","UTR363875","BOULEVARD HOME FURNISHINGS","NON-POTW",-113.072702,37.659334
"180","UTR000394","BOUNTIFUL MAIN POST OFFICE","NON-POTW",-111.88069,40.88886
"181","UTR000725","BOUNTIFUL SANITARY LANDFILL","NON-POTW",-111.919406,40.912752
"182","UTR363630","BOX CAR BRIDGE REPLACEMENT PROJECT","NON-POTW",-109.473506,40.483893
"183","UTG170056","BOX ELDER COUNTY","NON-POTW",-112.15339,41.66925
"184","UTR001013","BOX ELDER COUNTY FACILITY, PROCTER AND GAMBLE","NON-POTW",-112.172856,41.597794
"185","UTR000694","BOX ELDER COUNTY LANDFILL","NON-POTW",-112.17997,41.68138
"186","UTG170024","BOX ELDER MOSQUITO ABATEMENT DISTRICT","NON-POTW",-112.03764,41.50783
"187","UTR259785","BRAILSFORD CAST STONE, INC.","NON-POTW",-111.62258,40.18523
"188","UTR280263","BRAIN CHRISTENSEN/SAVAGE SERVICES","NON-POTW",-110.68781,39.54328
"189","UTR277085","BRENNTAG PACIFIC, INC.","NON-POTW",-111.98935,41.2239
"190","UTR353413","BRIDGE SCOUR REPAIR","NON-POTW",-112.53068,37.04813
"191","UTR371139","BRIGHAM CITY COMPOST SITE PAVING - PHASE 3","NON-POTW",-112.047931,41.525267
"192","UTR090063","BRIGHAM CITY CORPORATION","NON-POTW",-112.015772,41.510829
"193","UT0022365","BRIGHAM CITY CORPORATION","POTW",-112.035579,41.510635
"194","UTL022365","BRIGHAM CITY CORPORATION","NON-POTW",-112.035579,41.510635
"195","UTR374035","BRIGHAM CITY MEDICAL OFFICE BUILDING","NON-POTW",-112.02411,41.4916
"196","UTR000346","BRIGHAM CITY REGIONAL AIRPORT","NON-POTW",-112.06526,41.54198
"197","UTR000350","BRIGHAM PIT","NON-POTW",-112.002166,41.496815
"198","UTR000992","BRIGHAM SOUTH","NON-POTW",-111.992,41.5004
"199","UTR000995","BRIGHAM SOUTH","NON-POTW",-111.9992,41.5004
"200","UTR277449","BROMIDE MINING","NON-POTW",-110.71222,38.370554
"201","UT0022616","BRONCO UTAH OPERATIONS, LLC","NON-POTW",-111.236281,38.874976
"202","UTG040026","BRONCO UTAH OPERATIONS, LLC","NON-POTW",-111.282117,38.813032
"203","UTR350513","BROOKLINE","NON-POTW",-111.705165,40.240475
"204","UTR262291","BROWNS CANYON","NON-POTW",-111.3765,40.7426
"205","UTR264695","BRUCE LABRUM","NON-POTW",-111.90548,40.69526
"206","UTR000805","BRYCE CANYON AIRPORT","NON-POTW",-112.145824,37.706426
"207","UTG170086","BRYCE CANYON NATIONAL PARK","FEDERAL",-112.169564,37.640311
"208","UTR000229","BULLFROG MARINA","NON-POTW",-110.706818,37.846315
"209","UTR264097","BURBIDGE CONCRETE PUMPING","NON-POTW",-111.90399,40.74924
"210","UTR263753","BURCH HOLLOW","NON-POTW",-111.790453,40.392264
"211","UTR260805","BURDICK MATERIALS VERNAL READY MIX","NON-POTW",-109.52764,40.39202
"212","UTR259779","BURDICK PAVING","NON-POTW",-110.04848,40.28168
"213","UTR000146","BURDICK PAVING","NON-POTW",-110.04848,40.28168
"214","UTG130023","BURR CREEK TROUT FARM","NON-POTW",-111.875047,38.589386
"215","UTR305652","BYU CANNON CENTER","NON-POTW",-111.65611,40.25626
"216","UTR357911","BYU CMPS HTT PHASE 5B","NON-POTW",-111.65015,40.25238
"217","UTR260979","C & E AUTO PARTS & SALVAGE","NON-POTW",-111.99442,41.23687
"218","UTR000383","C R ENGLAND INC.","NON-POTW",-112.000772,40.709946
"219","UTR266219","C S MINING LLC","NON-POTW",-113.1242,38.4734
"220","UTR000492","C.H. DREDGE & CO., INC","NON-POTW",-111.94383,40.75951
"221","UTR000248","C.H. DREDGE & CO., INC","NON-POTW",-111.94383,40.75951
"222","UTR366921","CABELA'S TOOELE DISTRIBUTION CENTER","NON-POTW",-112.356081,40.529696
"223","UTR347011","CABLE FENCE PROJECT","NON-POTW",-111.84524,39.678
"224","UTR090072","CACHE COUNTY","NON-POTW",-111.75,41.69
"225","UTG170029","CACHE COUNTY WEED","NON-POTW",-111.85934,41.74131
"226","UTG170022","CACHE MOSQUITO ABATEMENT DISTRICT","NON-POTW",-111.816316,41.799182
"227","UTR000250","CALIF. STEEL PRESSURE PIPE CO.","NON-POTW",-111.74962,40.36852
"228","UTR000985","CALIFORNIA READY MIX FACILITY","NON-POTW",-111.859738,40.699592
"229","UTR000244","CAMBELT INTERNATIONAL","NON-POTW",-111.859706,40.709741
"230","UT0025593","CANYON FUEL CO, DUGOUT CANYON","NON-POTW",-110.544908,39.611629
"231","UT0023540","CANYON FUEL CO., LLC - SKYLINE","NON-POTW",-111.158227,39.729062
"232","UT0023680","CANYON FUEL CO., LLC - SOLDIER","NON-POTW",-111.85608,40.624778
"233","UT0022918","CANYON FUEL CO., LLC. SUFCO MINE","NON-POTW",-111.415,38.915
"234","UTR259913","CANYON FUEL COMPANY, LLC","NON-POTW",-111.311389,38.8525
"235","UTR000192","CANYONLANDS FIELD AIRPORT","NON-POTW",-109.54827,38.57327
"236","UTR368099","CANYONS GOLF COURSE","NON-POTW",-111.553578,40.684042
"237","UT0025798","CAPITOL REEF NATIONAL PARK","FEDERAL",-111.261912,38.291425
"238","UTG170090","CAPITOL REEF NATIONAL PARK","FEDERAL",-111.261912,38.291425
"239","UTR265743","CAPPS AUTO WREKING","NON-POTW",-109.50166,40.45405
"240","UTR000804","CARBON CANAL 5-12 WELL PAD","NON-POTW",-110.757046,39.449263
"241","UTG170011","CARBON COUNTY","NON-POTW",-110.81949,39.55006
"242","UTR355965","CARBON COUNTY FAIRGROUNDS EQUIPMENT FACILITY","NON-POTW",-110.82153,39.59001
"243","UTR363311","CARBON COUNTY REGIONAL AIRPORT","NON-POTW",-110.748595,39.610426
"244","UTR262689","CARBON COUNTY REGIONAL AIRPORT/BUCK DAVIS FIELD","NON-POTW",-110.748426,39.610759
"245","UTR261321","CARBON COUNTY ROAD SHOP","NON-POTW",-110.765278,39.59475
"246","UT0000639","CARGILL SALT","NON-POTW",-112.636908,40.769383
"247","UTG170082","CARIBOU-TARGHEE NATIONAL FOREST","FEDERAL",-111.97252,41.22069
"248","UTR000757","CARLISLE SYNTEC HUNTER PANELS","NON-POTW",-112.34068,40.51693
"249","UTR000030","CARR FORK & IS&R TOOELE SMELTER","NON-POTW",-112.271613,40.551333
"250","UTR383817","CARRIAGE CROSSING PHASE 4","NON-POTW",-112.43304,40.59217
"251","UTR368683","CASCADE COLLISION REPAIR","NON-POTW",-111.46388,40.68871
"252","UTR000405","CASCADE MOUNTAIN RESOURCES INC","NON-POTW",-110.71426,39.52762
"253","UT0025526","CASPER ICE CREAM","NON-POTW",-111.831154,41.947275
"254","UTR000655","CASTLE CANYON MINE","NON-POTW",-113.330061,41.81691
"255","UTG040006","CASTLE VALLEY MINING","NON-POTW",-111.092392,39.411078
"256","UT0023663","CASTLE VALLEY SPECIAL SERVICE","POTW",-111.009083,39.191632
"257","UT0021296","CASTLE VALLEY SSD - HUNTINGTON","POTW",-110.921582,39.312742
"258","UTR000676","CB&I CLEARFIELD INC","NON-POTW",-112.022454,41.103675
"259","UTR342961","CEDAR BREAKS OVERLOOK WALL REHAB","NON-POTW",-112.849662,37.705982
"260","UTG170089","CEDAR CITY CORP","NON-POTW",-113.06176,37.67767
"261","UTL024970","CEDAR CITY CORPORATION","NON-POTW",-113.084129,37.812474
"262","UT0024970","CEDAR CITY CORPORATION","POTW",-113.084129,37.812474
"263","UTR000869","CEDAR CITY FACILITY","NON-POTW",-113.07857,37.7092
"264","UTR000999","CEDAR CITY REGIONAL AIRPORT","NON-POTW",-113.099628,37.70092
"265","UTR268293","CEDAR FORT GRAVEL PIT","NON-POTW",-112.10222,40.306111
"266","UTR376031","CEDAR HIGH TENNIS COURTS","NON-POTW",-113.072583,37.66652
"267","UTR090017","CEDAR HILLS CITY","NON-POTW",-111.75287,40.41496
"268","UTR000923","CEDAR HILLS PUBLIC WORKS","NON-POTW",-111.75239,40.41967
"269","UTR358311","CEDAR RUNAWAY TRUCK RAMP","NON-POTW",-112.527191,37.03706
"270","UTR389009","CENTENNIAL PARK INTERACTIVE WATER FEATURE","NON-POTW",-112.064615,41.087872
"271","UTR388257","CENTENNIAL TRUCKING","NON-POTW",-111.909213,40.335368
"272","UTR000974","CENTERFIELD FACILITY","NON-POTW",-111.810714,39.134225
"273","UT0025704","CENTERFIELD REGIONAL CULINARY WATER TREATMENT PLANT","NON-POTW",-111.712437,39.122461
"274","UTR090009","CENTERVILLE CITY CORPORATION","NON-POTW",-111.89763,40.924436
"275","UTR000918","CENTERVILLE CITY CORPORATION","NON-POTW",-111.89763,40.924436
"276","UTL020974","CENTRAL DAVIS CO SEWER","NON-POTW",-111.944932,41.0007
"277","UT0020974","CENTRAL DAVIS CO SEWER","POTW",-111.944932,41.0007
"278","UTR333460","CENTRAL FOOD SERVICES FACILITY","NON-POTW",-111.989168,40.723331
"279","UTR273623","CENTRAL INDUSTRIAL PARK","NON-POTW",-111.89694,40.68332
"280","UTG170019","CENTRAL UTAH WATER CONSERVANCY DISTRICT","NON-POTW",-111.7036,40.273509
"281","UTR383035","CENTRAL VALLEY MEDICAL CENTER","NON-POTW",-111.83705,39.7306
"282","UTR000165","CENTRAL VALLEY WATER RECLAIMATION","NON-POTW",-111.915905,40.708105
"283","UT0024392","CENTRAL VALLEY WATER RECLAM","POTW",-111.915905,40.708105
"284","UTL024392","CENTRAL VALLEY WTR RFB-CENTRAL","NON-POTW",-111.915905,40.708105
"285","UTR000813","CENTRAL WAREHOUSE","NON-POTW",-111.050924,39.142671
"286","UT0021911","CENTRAL WEBER SEWER DISTRICT","POTW",-112.04325,41.27143
"287","UTL021911","CENTRAL WEBER SEWER IMP","NON-POTW",-112.04325,41.27143
"288","UTR263939","CENTURY GOLD MINE","NON-POTW",-113.514167,41.856667
"289","UTR000275","CEREAL FOOD PROCESSORS, INC","NON-POTW",-111.982864,41.210586
"290","UTR000016","CERRO WIRE AND CABLE COMPANY","NON-POTW",-112.00716,41.29741
"291","UTR000730","CH DREDGE, DIV OF PRIME INC","NON-POTW",-111.94383,40.75951
"292","UTR301652","CHALLENGER SCHOOL RIVERTON","NON-POTW",-111.98625,40.53449
"293","UT0025739","CHAMBERLAIN INVESTMENT COMPANY","NON-POTW",-112.089028,41.656528
"294","UTR000549","CHAPPELL LOG HOMES","NON-POTW",-111.282081,40.643082
"295","UTR000997","CHARLOTTE PIPE AND FOUNDRY","NON-POTW",-113.164952,37.699698
"296","UTR304105","CHASE BANK-SARATOGA SPRINGS, UT","NON-POTW",-111.915075,40.3848
"297","UTR000562","CHEMICAL LIME COMPANY","NON-POTW",-112.471689,40.617043
"298","UTR280379","CHEP RECYCLED PALLET SOLUTIONS, LLC","NON-POTW",-112.341941,40.52696
"299","UTR330513","CHERRINGTON HEIGHTS","NON-POTW",-111.57533,40.16087
"300","UTR358613","CHERRINGTON HEIGHTS SUBDIVISION COMMON PLAN OF DEVELOPMENT BILDING LOTS","NON-POTW",-111.57631,40.16005
"301","UT0000175","CHEVRON USA, INC.","NON-POTW",-111.9238,40.8249
"302","UTR272977","CHICKEN","NON-POTW",-111.773856,39.53052
"303","UTR376875","CHOCOLATE HOMES AT WESTGATE","NON-POTW",-111.921466,40.480368
"304","UTR000747","CHRISTENSEN OIL CO.","NON-POTW",-111.929713,40.861682
"305","UTR000511","CHRISTENSEN OIL CO.","NON-POTW",-111.929713,40.861682
"306","UTR000126","CHROMALOX INC.","NON-POTW",-112.01263,41.2967
"307","UTR358481","CINEMA COURT","NON-POTW",-109.527147,38.558009
"308","UTR273557","CISCO GRAVEL PIT","NON-POTW",-109.31824,38.96911
"309","UTG640018","CITY CREEK WTP","NON-POTW",-111.92924,40.62922
