UID,OrganizationIdentifier,OrganizationFormalName,ProviderName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,IR_FLAG,IR_COMMENT,IR_MLID,IR_MLNAME,ASSESS_ID,AU_NAME,AU_Type,Water_Type,R317Descrp,ss_R317Descrp,BEN_CLASS,MLID_Count,Lat_Count,Long_Count,sites100m_count,LatitudeMeasure,LongitudeMeasure,IR_Lat,IR_Long,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ValidationType,ReviewComment
12,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-DINO_3P_9261000,"Green River near Jensen, UT",River/Stream,"This station is at Green River near Jensen, UT. This site is at the Utah State Route 149 Bridge. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and names: USGS NWIS Site No. 09261000, Green River Near Jensen, UT; and Utah Dept. of Environmental Quality No. 4937900, Green R at Dinosaur Natl Monument U149 Xing.",REVIEW,Automatically flagged for review,REVIEW,NA,UT14060001-004_00,Green River-2,River/Stream,River / Stream,"Green River and tributaries, from confluence with Colorado River to state line except as listed below:",NA,"1C,2B,3B,4",1,1,2,3,40.40940757,-109.2354043,NA,NA,14060010,NA,NA,NA,NA,0,NA,NA,Interpolation-Map,WGS84,NA,NA,NA,NA,NA,NA,US,49,47,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
13,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-GLCA_3P_COY01,Coyote Gulch Upstream of Crack-In-The-Wall Trail,River/Stream,This station is at Coyote Gulch upstream of Crack-In-The-Wall Trail. This site is approximately 250 meters upstream of Crack-In-The-Wall Trail. This station has an additional ID from NPS of GLCA_COY01 with a station name of Coyote Gulch Above Crack-In-The-Wall Trail.,ACCEPT,Automatically accepted,11NPSWRD_WQX-GLCA_3P_COY01,Coyote Gulch Upstream of Crack-In-The-Wall Trail,UT14070005-017_00,Coyote Gulch,River/Stream,River / Stream,"All tributaries to Lake Powell, except as listed below",NA,"2B,3B,4",1,1,1,0,37.427075,-110.989319,37.427075,-110.989319,14070005,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,1147,m,NA,NA,Unknown,NAVD88,US,49,25,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
14,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-GLCA_3P_ESC01,Escalante River Downstream of Stevens Canyon,River/Stream,This station is at Escalante River downstream of Stevens Canyon. This site is approximately 250 meters downstream of Stevens Canyon. This station has an additional NPS Station ID of GLCA_ESC01 with the station name of Escalante River below Steven's Canyon.,ACCEPT,Automatically accepted,11NPSWRD_WQX-GLCA_3P_ESC01,Escalante River Downstream of Stevens Canyon,UT14070005-011_00,Escalante River Lower,River/Stream,River / Stream,"All tributaries to Lake Powell, except as listed below",NA,"2B,3B,4",1,1,1,0,37.43432207,-110.9853845,37.43432207,-110.9853845,14070005,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,1133.66,m,NA,NA,Unknown,NAVD88,US,49,25,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
15,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-GLCA_3P_ESC02,Escalante River at Coyote Gulch,River/Stream,"This station is at Escalante River at Coyote Gulch. This station has additional IDs and station names: USGS-NWIS Site No. 372541110584701, Escalante River at Coyote Gulch; and NPS Station ID GLCA_ESC02, Escalante River above Coyote Gulch.",REJECT,Automatically flagged for rejection,REJECT,REJECT,NA,NA,Undefined,River / Stream,"All tributaries to Lake Powell, except as listed below",NA,"2B,3B,4",NA,NA,NA,NA,37.4276963,-110.9808082,NA,NA,14070005,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,1129,m,NA,NA,Topographic Map Interpolation,NAVD88,US,49,25,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
16,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-HOVE_3P_5995700,Square Tower Spring,Spring,"This station is at Square Tower Spring, in the Square Tower Group Ruins. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 5995700 with a station name of Square Tower Spring.",REVIEW,Automatically flagged for review,REVIEW,NA,UT14080202-001_00,McElmo Creek,River/Stream,River / Stream,"San Juan River and Tributaries, from Lake Powell to state line except As listed below:",NA,"1C,2A,3B,4",1,1,1,1,37.38582761,-109.0817777,NA,NA,14080202,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,37,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
17,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-HOVE_3P_5995710,Cajon Spring,Spring,"This station is at Cajon Spring, at the Cajon Group Ruins. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 5995710 with a station name of Cajun Spring (misspelled).",REJECT,Automatically flagged for rejection,REJECT,REJECT,NA,NA,Undefined,River / Stream,"San Juan River and Tributaries, from Lake Powell to state line except As listed below:",NA,"1C,2A,3B,4",NA,NA,NA,NA,37.29944105,-109.1842798,NA,NA,14080201,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,37,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
18,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-NABR_3P_5995310,Armstrong Canyon near Kachina Natural Bridge,River/Stream,"This station is at Armstrong Canyon near Kachina Natural Bridge. This site is Armstrong Canyon, approximately 800 meters south of Kachina Natural Bridge. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 5995310 with a station name of Armstrong Canyon Ck Near Kachina Natural Bridge.",ACCEPT,Automatically accepted,11NPSWRD_WQX-NABR_3P_5995310,Armstrong Canyon near Kachina Natural Bridge,UT14070001-004_00,White Canyon,River/Stream,River / Stream,"All tributaries to Lake Powell, except as listed below",NA,"2B,3B,4",1,1,1,0,37.59693851,-110.0309659,37.59693851,-110.0309659,14070001,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,37,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
19,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-NABR_3P_5995320,Owachomo Bridge Spring in Tuwa Canyon above Confluence,Spring,This station is at Owachomo Bridge Spring in Tuwa Canyon above confluence. This site is just upstream of the confluence of Tuwa Canyon with Armstrong Canyon. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 5995320 with a station name of Owachemo (misspelled).,ACCEPT,Automatically accepted,11NPSWRD_WQX-NABR_3P_5995320,Owachomo Bridge Spring in Tuwa Canyon above Confluence,UT14070001-004_00,White Canyon,River/Stream,River / Stream,"All tributaries to Lake Powell, except as listed below",NA,"2B,3B,4",1,1,1,0,37.58166121,-110.0140211,37.58166121,-110.0140211,14070001,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,37,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
20,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-TICA_3P_HCL,Hansen Cave Lake,Lake,This station is at Hansen Cave Lake. Hansen Cave Lake is located in the southwestern section of Timpanogos Cave National Monument. This station has an additional ID from USGS-NWIS of 402615111423901 with the station name of Hansen Cave Spring in Timpanogos Cave NM.,REVIEW,Automatically flagged for review,REVIEW,NA,UT16020201-001_00,American Fork River-1,River/Stream,River / Stream,"American Fork Creek and tributaries, from diversion at mouth of American Fork Canyon to headwaters",NA,"2B,3A,4",1,1,1,1,40.43704537,-111.7120945,NA,NA,16020201,NA,NA,NA,NA,24000,NA,NA,Interpolation-Map,WGS84,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
21,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-TICA_3P_MCP,"Middle Cave Lake, Off-trail",Lake,"This station is at Middle Cave Lake off of the trail, approximately 75 feet (23 meters) from the bridge. Middle Cave Lake is located in the southern section of Timpanogos Cave National Monument.",REVIEW,Automatically flagged for review,REVIEW,NA,UT16020201-001_00,American Fork River-1,River/Stream,River / Stream,"American Fork Creek and tributaries, from diversion at mouth of American Fork Canyon to headwaters",NA,"2B,3A,4",1,2,2,3,40.43792339,-111.7110104,NA,NA,16020201,NA,NA,NA,NA,24000,NA,NA,Interpolation-Map,WGS84,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
22,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-TICA_3P_MCVA,Middle Cave Lake Bridge,Lake,This station is at Middle Cave Lake Bridge. Middle Cave Lake is located in the southern section of Timpanogos Cave National Monument. This station has an additional ID from USGS-NWIS of 402617111423801 with the station name of Middle Cave Lake Bridge.,REVIEW,Automatically flagged for review,REVIEW,NA,UT16020201-001_00,American Fork River-1,River/Stream,River / Stream,"American Fork Creek and tributaries, from diversion at mouth of American Fork Canyon to headwaters",NA,"2B,3A,4",1,2,2,3,40.43792339,-111.7110104,NA,NA,16020201,NA,NA,NA,NA,24000,NA,NA,Interpolation-Map,WGS84,NA,NA,NA,NA,NA,NA,US,49,49,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
23,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-ZION_3P_4950800,La Verkin Creek at Lee Pass Trail,River/Stream,This station is at La Verkin Creek at Lee Pass Trail. This site is at the downstream section of Lee Pass Trail before the waterfalls. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from Utah Dept. of Environmental Quality of 4950800 with a station name of La Verkin Ck at Lee Pass Trail.,REVIEW,Automatically flagged for review,REVIEW,NA,UT15010008-010_00,La Verkin Creek,River/Stream,River / Stream,Virgin River and tributaries from state line to Quail Creek diversion except as listed below,NA,"2B,3B,4",1,1,1,1,37.40720262,-113.1757813,NA,NA,15010008,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,53,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
24,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-ZION_3P_4950920,North Creek at Planned Gage in Park,River/Stream,"This station is at North Creek at planned gage in park. This site is approximately 600 meters downstream of the confluence of Left and Right Forks of North Creek in Zion National Park. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 371542113062401, North Creek at Planned Gage in Park; and Utah Dept. of Environmental Quality 4950920, North Ck at Planned Gage in Park.",REVIEW,Automatically flagged for review,REVIEW,NA,UT15010008-014_00,North Creek-Virgin,River/Stream,River / Stream,"Virgin River and tributaries, from the Quail Creek diversion to headwaters, except as listed below",North Creek from the confluence with Virgin River to headwaters,"1C,2B,3C,4",1,1,1,1,37.26109313,-113.106333,NA,NA,15010008,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,53,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
25,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-ZION_3P_4951199,North Fork Virgin River below Temple of Sinawava,River/Stream,"This station is at North Fork Virgin River below Temple of Sinawava. This site is just downstream of the Temple of Sinawava. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 371705112565001, North Fork Virgin River at Mouth of Narrows, UT; and Utah Dept. of Environmental Quality of 4951199, N Fk Virgin R bl Temple of Sinawava.",REVIEW,Automatically flagged for review,REVIEW,NA,UT15010008-015_00,North Fork Virgin River-1,River/Stream,River / Stream,North Fork Virgin River and tributaries,NA,"1C,2A,3A,4",1,1,1,1,37.28447913,-112.9472634,NA,NA,15010008,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,53,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
26,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-ZION_3P_GROTTO,The Grotto,Spring,"The station is at The Grotto springs, approximately 400 meters north of Red Arch Mountain. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from USGS-NWIS of 371529112564801 with the station name of The Grotto.",REVIEW,Automatically flagged for review,REVIEW,NA,UT15010008-015_00,North Fork Virgin River-1,River/Stream,River / Stream,North Fork Virgin River and tributaries,NA,"1C,2A,3A,4",1,1,1,1,37.2581061,-112.9467323,NA,NA,15010008,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,53,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
27,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-ZION_3P_MENUFSP,Menu Falls Spring,Spring,"This station is at Menu Falls Spring, approximately 600 meters southeast of The Pulpit in the Temple of Sinawava.",ACCEPT,Automatically accepted,11NPSWRD_WQX-ZION_3P_MENUFSP,Menu Falls Spring,UT15010008-015_00,North Fork Virgin River-1,River/Stream,River / Stream,North Fork Virgin River and tributaries,NA,"1C,2A,3A,4",1,1,1,0,37.27989514,-112.9432509,37.27989514,-112.9432509,15010008,NA,NA,NA,NA,24000,NA,NA,Interpolation-Map,WGS84,NA,NA,NA,NA,NA,NA,US,49,53,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
28,11NPSWRD_WQX,National Park Service Water Resources Division,STORET,11NPSWRD_WQX-ZION_3P_TEMPLES,Temple of Sinawava Seep,Spring,"This station is at Temple of Sinawava Seep at a pool at the base of the wall, approximately 400 meters northwest of the Pulpit. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation.",ACCEPT,Automatically accepted,11NPSWRD_WQX-ZION_3P_TEMPLES,Temple of Sinawava Seep,UT15010008-015_00,North Fork Virgin River-1,River/Stream,River / Stream,North Fork Virgin River and tributaries,NA,"1C,2A,3A,4",1,1,1,0,37.2860276,-112.9509741,37.2860276,-112.9509741,15010008,NA,NA,NA,NA,NA,NA,NA,Unknown,WGS84,NA,NA,NA,NA,NA,NA,US,49,53,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
