"locationID","locationName","locationType","LongitudeMeasure","LatitudeMeasure","AU_NAME","ASSESS_ID","AU_DESCRIP","AU_Type","priority"
"UTG071316","#41191 7-ELEVEN","NON-POTW",-111.670434,40.264538,"Provo River-1","UT16020203-001_00","Provo River from Utah Lake to Murdock Diversion","River/Stream","N"
"UTRH95757","#507 SECRIST","NON-POTW",-112.05276,41.22922,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTRC02604","#669 SALT LAKE MAVERIK","NON-POTW",-112.024,40.7626,NA,NA,NA,NA,"N"
"UTR394939","&00 N. WAREHOUSE","NON-POTW",-111.74073,40.35154,"Lindon Hollow","UT16020201-011_00","Lindon Hollow and tributaries from Utah Lake to Interstate 15","River/Stream","N"
"UTR381045","1 EAST HARRISON","NON-POTW",-111.94119,41.16342,"Burch Creek-2","UT16020102-004_00","Burch Creek and tributaries from Harrison Blvd to headwaters","River/Stream","N"
"UTRH88499","1 JACQUELYN","NON-POTW",-112.09744,41.22881,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTRH00972","1 NORTH ROPELATO","NON-POTW",-112.1188,41.1549,NA,NA,NA,NA,"N"
"UTR370459","1-15 BEAVER PASSING LANES","NON-POTW",-112.61387,38.15138,NA,NA,NA,NA,"N"
"UTRC02175","1.5 MILLION GALLON WATER STORAGE TANK","NON-POTW",-111.7977,41.6996,"Logan River-1","UT16010203-005_00","Logan River and tributaries, except Blacksmith Fork drainage, from Cutler Reservoir to Third Dam","River/Stream","N"
"UTRH83199","10 DANIEL'S CANYON","NON-POTW",-111.90308,41.077372,"Snow Creek","UT16020102-033_00","Snow Creek and tributaries","River/Stream","N"
"UTR374859","10 EAGLE GATE","NON-POTW",-112.061732,41.18028,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTRH01466","10 SUMMERSET FARMS","NON-POTW",-112.0781,41.2252,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTRL00054","100 NORTH & MAIN STREET","NON-POTW",-113.50985,37.131342,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTR388999","100 WEST INFRASTRUCTURE IMPROVEMENTS PROJECT","NON-POTW",-109.553,38.579,NA,NA,NA,NA,"N"
"UTRL00021","1000 EAST 300 SOUTH","NON-POTW",-113.56237,37.105614,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRL00075","1000 N 800 E","NON-POTW",-111.81394,41.75015,"Swift Slough","UT16010203-002_00","Swift Slough and tributaries from Cutler Reservoir to headwaters","Slough","N"
"UTRL00240","1000 W 200 S","NON-POTW",-111.85993,41.7281,"Logan River-1","UT16010203-005_00","Logan River and tributaries, except Blacksmith Fork drainage, from Cutler Reservoir to Third Dam","River/Stream","N"
"UTRL00195","1000 WEST HWY 89","NON-POTW",-111.85977,41.697018,"Spring Creek-Hyrum","UT16010203-008_00","Spring Creek and tributaries from confluence with Little Bear River to headwaters","River/Stream","N"
"UTRH01426","1015 WEST 2350 SOUTH","NON-POTW",-111.8609,41.6894,"Spring Creek-Hyrum","UT16010203-008_00","Spring Creek and tributaries from confluence with Little Bear River to headwaters","River/Stream","N"
"UTRH79031","1018 THE BENCHES","NON-POTW",-111.933652,40.339723,NA,NA,NA,NA,"N"
"UTRL00114","10302 SOUTH 2950 WEST","NON-POTW",-111.96243,40.5641,NA,NA,NA,NA,"N"
"UTRH00820","1032 STONE CLIFF","NON-POTW",-113.5433,37.076,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRH89765","104 BROOK HAVEN","NON-POTW",-112.0787,41.31054,NA,NA,NA,NA,"N"
"UTRH02496","104 PARKSIDE @ DESERT MOUNTAIN","NON-POTW",-113.289914,37.250759,"Ash Creek-1","UT15010008-007_00","Ash Creek and tributaries from confluence with La Verkin Creek to springs near Toquerville","River/Stream","N"
"UTRL00068","10400 S","NON-POTW",-111.79252,40.420923,"Spring Creek-Lehi","UT16020201-009_00","Spring Creek and tributaries from Utah Lake near Lehi to headwaters","River/Stream","N"
"UTRC00413","10400 S BANGERTER HIGHWAY","NON-POTW",-111.9771,40.5619,NA,NA,NA,NA,"N"
"UTRH01968","105 KNOLLS AT LITTLE VALLEY","NON-POTW",-113.3409,37.1253,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRL00230","1050 N. WATERY LANE","NON-POTW",-112.04891,41.52617,"Bear River Lower-East","UT16010204-002_00","Bear River east side tributaries from Malad confluence south","River/Stream","N"
"UTRL00143","1050 W RED HILLS PKWY","NON-POTW",-113.52721,37.12871,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRL00123","1050 W RED HILLS PKWY","NON-POTW",-113.52721,37.12871,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRH92277","1059 PEPPER WOOD","NON-POTW",-111.80825,40.5456,NA,NA,NA,NA,"N"
"UTRH89519","106 BROOK HAVEN","NON-POTW",-112.0787,41.31054,NA,NA,NA,NA,"N"
"UTRH03081","106 CRIMSON VISTA","NON-POTW",-113.3143,37.2443,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTR395333","106 EXCHANGE II","NON-POTW",-111.90461,40.558284,NA,NA,NA,NA,"N"
"UTG071021","1063 EMPIRE AVE","NON-POTW",-111.50291,40.64894,"Silver Creek-2","UT16020101-020_02","Silver Creek and tributaries, from confluence with Tollgate Creek to headwaters","River/Stream","N"
"UTRH00976","10665 N ALPINE HWY","NON-POTW",-111.7862,40.4257,"Spring Creek-Lehi","UT16020201-009_00","Spring Creek and tributaries from Utah Lake near Lehi to headwaters","River/Stream","N"
"UTG070953","106TH SOUTH RECONSTRUCT","NON-POTW",-111.897371,40.559437,NA,NA,NA,NA,"N"
"UTRH02898","108 PARKSIDE @ DESERT MOUNTAIN","NON-POTW",-113.289934,37.250774,"Ash Creek-1","UT15010008-007_00","Ash Creek and tributaries from confluence with La Verkin Creek to springs near Toquerville","River/Stream","N"
"UTRL00072","1082 E BLAINE STREET","NON-POTW",-111.86,40.73254,NA,NA,NA,NA,"N"
"UTRH89763","109 SUNRISE ACRES","NON-POTW",-111.92882,40.6938,NA,NA,NA,NA,"N"
"UTRH00328","11 HALCYON ESTATES","NON-POTW",-111.9461,40.571,NA,NA,NA,NA,"N"
"UTR398487","11 WEST APARTMENTS","NON-POTW",-112.006325,41.226729,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTRH02888","11-002-0072/MOSER","NON-POTW",-111.910925,41.717788,"Spring Creek-Hyrum","UT16010203-008_00","Spring Creek and tributaries from confluence with Little Bear River to headwaters","River/Stream","N"
"UTRC02473","11-WEST APARTMENTS","NON-POTW",-112.006325,41.226729,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTR394579","1100 N ROAD AND STORM DRAIN","NON-POTW",-111.73956,40.375551,NA,NA,NA,NA,"N"
"UTR389647","1100 NORTH EXTENSION PROJECT","NON-POTW",-111.97934,41.28843,NA,NA,NA,NA,"N"
"UTRL00150","1100 SOUTH 400 EAST","NON-POTW",-113.574702,37.089956,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTR397831","1100 WEST 350 SOUTH","NON-POTW",-111.81166,40.36961,NA,NA,NA,NA,"N"
"UTRC02657","1100 WEST ROADWAY PROJECT","NON-POTW",-111.96393,41.2772,NA,NA,NA,NA,"N"
"UTRH83661","110TH SOUTH STATE STREET RETAIL PHASE 1","NON-POTW",-111.89083,40.55122,NA,NA,NA,NA,"N"
"UTRH00017","1110 S. LOAFER DR","NON-POTW",-111.65515,40.00132,"Beer Creek","UT16020202-027_00","Beer Creek and tributaries from confluence with Spring Creek to headwaters","River/Stream","N"
"UTG070943","1114 PARK AVE - JOSEPH KELLY","NON-POTW",-111.50138,40.65017,"Silver Creek-2","UT16020101-020_02","Silver Creek and tributaries, from confluence with Tollgate Creek to headwaters","River/Stream","N"
"UTRH98277","112 FREMONT MEADOWS","NON-POTW",-112.08761,41.290399,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTRL00118","1121 NORTH HERITAGE HILLS DRIVE","NON-POTW",-111.77387,40.46817,NA,NA,NA,NA,"N"
"UTRL00128","1121 NORTH HERITAGE HILLS DRIVE","NON-POTW",-111.77387,40.46817,NA,NA,NA,NA,"N"
"UTRL00093","11254 S HIGHWAY 91","NON-POTW",-111.74374,40.025742,"Spring Creek-Payson","UT16020202-026_00","Spring Creek and tributaries from confluence with Beer Creek to headwaters","River/Stream","N"
"UTRH01347","1133 STONE CLIFF","NON-POTW",-113.53816,37.07782,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTG070810","11400 SOUTH CATHODIC PROTECTION PROJECT","NON-POTW",-111.904847,40.544349,NA,NA,NA,NA,"N"
"UTRL00164","116 E NUTTER AVE","NON-POTW",-109.713013,38.969913,"Green River-5 Tributaries","UT14060008-003_00","Thompson Creek and tributaries from I-70 to headwaters, within Utah jurisdiction, excluding tribal jurisdictions","River/Stream","N"
"UTRC02555","1173 SHEPARD CREEK","NON-POTW",-111.9109,40.9996,NA,NA,NA,NA,"N"
"UTR380721","11800 SOUTH U-111 PIPELINE","NON-POTW",-112.03305,40.536944,"Midas Creek","UT16020204-024_01","Midas Creek and tributaries from confluence with Jordan River to headwaters","River/Stream","N"
"UTRH81911","11896 S REEVES LANE","NON-POTW",-111.92011,40.53504,"Jordan River-6","UT16020204-006_01","Jordan River from 7800 South to Bluffdale at 14600 South, except Big Willow and Dry Creeks","River/Stream","N"
"UTRC01920","12 HALCYON - TAYLOR","NON-POTW",-112.07784,41.23458,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTRH02789","12 ROCKY MEADOWS","NON-POTW",-112.0135,41.3209,NA,NA,NA,NA,"N"
"UTG071328","12 STREET SEGMENT","NON-POTW",-112.116424,41.246479,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTR386603","1200 E. DEMOLITION","NON-POTW",-111.85683,40.67431,NA,NA,NA,NA,"N"
"UTRL00112","1200 EAST GREEN MEDIAN PROJECT","NON-POTW",-111.86534,40.75978,NA,NA,NA,NA,"N"
"UTRL00204","1200 N, 200 E TO 600 E","NON-POTW",-111.82908,41.752903,"Swift Slough","UT16010203-002_00","Swift Slough and tributaries from Cutler Reservoir to headwaters","Slough","N"
"UTRL00127","1200 S. 825 E.","NON-POTW",-111.43088,40.49722,"Heber Valley","UT16020203-026_00","Provo River east side tributaries from Daniels Creek to Little South Fork except Lake Creek","River/Stream","N"
"UTRC02228","1200 S; 3600 E TO 6400 E (LAKE CREEK ROAD)","NON-POTW",-111.35718,40.49274,"Heber Valley","UT16020203-026_00","Provo River east side tributaries from Daniels Creek to Little South Fork except Lake Creek","River/Stream","N"
"UTRL00117","1200 SOUTH AND LEGRAND STREET","NON-POTW",-111.84046,41.708805,"Logan River-1","UT16010203-005_00","Logan River and tributaries, except Blacksmith Fork drainage, from Cutler Reservoir to Third Dam","River/Stream","N"
"UTRC00932","1200 WEST; 3600 SOUTH TO SOUTH PERRY BOUNDARY EXTENSION","NON-POTW",-112.0444,41.4446,NA,NA,NA,NA,"N"
"UTRL00041","1207 E CENTER","NON-POTW",-111.63473,40.109563,"Dry Creek-2","UT16020202-036_00","Dry Creek and tributaries from Interstate 15 to headwaters","River/Stream","N"
"UTRH91955","121 FREMONT MEADOWS","NON-POTW",-112.08761,41.290399,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTRH00751","121 SHEEP CREEK CLUSTER","NON-POTW",-111.85764,41.34366,"North Fork Ogden River","UT16020102-006_00","North Fork Ogden River and tributaries from Pineview Reservoir to headwaters","River/Stream","N"
"UTG071123","12150 S. LONE PEAK PARKWAY STORM DRAIN","NON-POTW",-111.895915,40.530155,NA,NA,NA,NA,"N"
"UTRC02870","12200 SOUTH WIDENING ROAD PROJECT","NON-POTW",-111.831207,40.471319,NA,NA,NA,NA,"N"
"UTRH86947","1224 E. DEMOLITION","NON-POTW",-111.85617,40.67432,NA,NA,NA,NA,"N"
"UTRH02825","123 MOUNTAIN VIEW","NON-POTW",-111.9046,40.9108,NA,NA,NA,NA,"N"
"UTRL00228","1230 SOUTH 1900 EAST","NON-POTW",-113.47639,37.11381,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRH87193","1236 E. DEMO","NON-POTW",-111.85593,40.67432,NA,NA,NA,NA,"N"
"UTRH00489","124 FREMONT MEADOWS","NON-POTW",-112.0859,41.2874,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTRH02860","1245 CANYON GATE ROAD","NON-POTW",-111.46886,40.76138,"Silver Creek-2","UT16020101-020_02","Silver Creek and tributaries, from confluence with Tollgate Creek to headwaters","River/Stream","N"
"UTRH02237","1259 NORTH GENEVA ROAD","NON-POTW",-111.7043,40.2503,"Provo River-1","UT16020203-001_00","Provo River from Utah Lake to Murdock Diversion","River/Stream","N"
"UTRH89735","126 CATALINA BAY","NON-POTW",-111.87703,40.29577,NA,NA,NA,NA,"N"
"UTRH02982","126 CRIMSON VISTA","NON-POTW",-113.3143,37.2443,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRC00300","126TH SOUTH BANGERTER 3 INTERCHANGES","NON-POTW",-111.5902,40.312,"Provo Lower Tributaries","UT16020203-023_00","HUC: 16020203","River/Stream","N"
"UTRL00175","1285 E HWY 12","NON-POTW",-111.578483,37.761213,"Alvey Wash Upper","UT14070005-014_00","Alvey Wash and tributaries from Tenmile Spring to headwaters","River/Stream","N"
"UTG070814","12TH STREET CORRIDOR","NON-POTW",-112.09297,41.24591,"Weber River-1","UT16020102-001_00","Weber River and tributaries from Great Salt Lake to Slaterville Diversion","River/Stream","N"
"UTR396313","12TH STREET CORRIDOR SEGMENT 3","NON-POTW",-111.94938,41.13654,NA,NA,NA,NA,"N"
"UTR389393","12TH STREET CORRIDOR SEGMENT 3 UTILITY RELOCATION PACKAGE","NON-POTW",-112.14201,41.24989,"Unknown","UT16020102-057_00","Unknown","River/Stream","N"
"UTRI00072","12TH STREET FERNWOOD APARTMENTS","NON-POTW",-111.951837,41.244651,NA,NA,NA,NA,"N"
"UTG070999","1300 EAST SALT LAKE CITY BELT LINE REPLACEMENT","NON-POTW",-111.8539,40.75195,NA,NA,NA,NA,"N"
"UTRC02444","1300 WEST IMPROVEMENTS","NON-POTW",-111.9292,40.5151,"Butterfield Creek","UT16020204-024_02","Butterfield Creek and tributaries from confluence with Jordan River to headwaters","River/Stream","N"
"UTG070931","1300 WEST RYANNA DRIVE AND LOVERS LANE SEWER PROJECT","NON-POTW",-111.9301,40.50164,NA,NA,NA,NA,"N"
"UTRC01273","13073 N PROSPECTOR WAY, ALPINE","NON-POTW",-111.7511,40.4699,NA,NA,NA,NA,"N"
"UTRC00310","13083 N PROSPECTOR WAY ALPINE LOT 49","NON-POTW",-111.7511,40.4699,NA,NA,NA,NA,"N"
"UTRH03079","131 CRIMSON VISTA","NON-POTW",-113.3143,37.2443,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRL00225","131 N. 300 W.","NON-POTW",-113.58967,37.11049,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRC00309","13189 N OAK HILL DR, ALPINE. LOT 15","NON-POTW",-111.754,40.4722,NA,NA,NA,NA,"N"
"UTR380649","13200 SOUTH CONNECTION PROJECT","NON-POTW",-111.83432,40.52278,NA,NA,NA,NA,"N"
"UTRC02702","13200 SOUTH PAVEMENT RECONSTRUCT","NON-POTW",-111.831207,40.471319,NA,NA,NA,NA,"N"
"UTRL00099","13290 SOUTH 2700 WEST","NON-POTW",-111.95769,40.50915,"Butterfield Creek","UT16020204-024_02","Butterfield Creek and tributaries from confluence with Jordan River to headwaters","River/Stream","N"
"UTRH92353","1330 MAPLE DRIVE","NON-POTW",-111.725614,41.281858,"Middle Fork Ogden River","UT16020102-009_00","Middle Fork Ogden River and tributaries from Pineview Reservoir to headwaters","River/Stream","N"
"UTRH01357","1338 E RED OAK CIRCLE","NON-POTW",-111.9193,39.504,"Chicken Creek-2","UT16030005-022_00","Chicken Creek and tributaries from confluence with Sevier River to Levan","River/Stream","N"
"UTG071002","134 MAIN STREET","NON-POTW",-111.49441,40.63984,"Silver Creek-2","UT16020101-020_02","Silver Creek and tributaries, from confluence with Tollgate Creek to headwaters","River/Stream","N"
"UTR388383","13490 SOUTH REUSE PIPELINE","NON-POTW",-111.90572,40.713952,NA,NA,NA,NA,"N"
"UTRL00131","135 E. 11400 SOUTH","NON-POTW",-111.88792,40.54432,NA,NA,NA,NA,"N"
"UTR396011","135 OLESON FIELDS","NON-POTW",-112.084288,41.103684,NA,NA,NA,NA,"N"
"UTRL00221","1353 SAND FLATS RD","NON-POTW",-109.52751,38.573808,"Mill Creek1-Moab","UT14030005-005_00","Mill Creek and tributaries, except Pack Creek, from the confluence with Colorado River to USFS boundary","River/Stream","N"
"UTRH02462","136 TERRACES AT GREEN SPRINGS","NON-POTW",-113.617,37.0973,NA,NA,NA,NA,"N"
"UTRH02222","1360 N CEDARWOOD LANE MOUNTAIN VIEW HOMES","NON-POTW",-111.7866,41.7561,"Swift Slough","UT16010203-002_00","Swift Slough and tributaries from Cutler Reservoir to headwaters","Slough","N"
"UTR392501","13800 S. PHASE II","NON-POTW",-111.87718,40.500678,NA,NA,NA,NA,"N"
"UTR394335","1400 COURT WATER LINE","NON-POTW",-111.83295,40.753486,"Red Butte Creek Lower","UT16020204-035_00","Red Butte Creek and tributaries from 1100 East Street to Red Butte Reservoir","River/Stream","N"
"UTG071266","1400 NORTH AT 600 WEST INTERSECTION IMPROVEMENT","NON-POTW",-111.84899,41.757837,"Swift Slough","UT16010203-002_00","Swift Slough and tributaries from Cutler Reservoir to headwaters","Slough","N"
"UTRL00142","1400 NORTH MAIN","NON-POTW",-111.654715,40.127552,"Dry Creek-1","UT16020202-035_00","Dry Creek and tributaries from Utah Lake (Provo Bay) to Interstate 15","River/Stream","N"
"UTR396507","1400 WEST REPAVE","NON-POTW",-111.86944,41.735556,"Logan River-1","UT16010203-005_00","Logan River and tributaries, except Blacksmith Fork drainage, from Cutler Reservoir to Third Dam","River/Stream","N"
"UTRL00108","14199 SOUTH 4800 WEST","NON-POTW",-112.00532,40.4974,"Rose Creek","UT16020204-029_00","Rose Creek and tributaries from confluence with Jordan River to headwaters","River/Stream","N"
"UTR388513","1425 WEST STREET ROADWAY IMPROVEMENT PROJECT","NON-POTW",-112.05315,41.09963,NA,NA,NA,NA,"N"
"UTRH00455","14262 KNAPPER POINT COVE","NON-POTW",-112.044,40.4921,"Rose Creek","UT16020204-029_00","Rose Creek and tributaries from confluence with Jordan River to headwaters","River/Stream","N"
"UTRL00044","1429 BOOMERS LOOP E.","NON-POTW",-113.668181,37.132611,NA,NA,NA,NA,"N"
"UTRH78359","1430 WILD ROSE","NON-POTW",-111.941236,41.241868,NA,NA,NA,NA,"N"
"UTRC00980","14340 SOUTH 3600 WEST","NON-POTW",-111.97674,40.49098,"Rose Creek","UT16020204-029_00","Rose Creek and tributaries from confluence with Jordan River to headwaters","River/Stream","N"
"UTRL00069","144 NORTH 1590 EAST","NON-POTW",-111.6278,40.11177,"Dry Creek-2","UT16020202-036_00","Dry Creek and tributaries from Interstate 15 to headwaters","River/Stream","N"
"UTRH01093","14462 HERRIMAN COVE CIRCLE","NON-POTW",-112.03753,40.4883,"Rose Creek","UT16020204-029_00","Rose Creek and tributaries from confluence with Jordan River to headwaters","River/Stream","N"
"UTRH01094","14472 HERRIMAN COVE CIRCLE","NON-POTW",-112.0381,40.3789,NA,NA,NA,NA,"N"
"UTR397815","1450 EAST ROADWAY EXTENSION","NON-POTW",-113.57489,37.09222,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRH01670","1460 STONECREST","NON-POTW",-111.7859,41.75778,"Swift Slough","UT16010203-002_00","Swift Slough and tributaries from Cutler Reservoir to headwaters","Slough","N"
"UTRH78361","1461 WILD ROSE WAY","NON-POTW",-111.940708,41.241681,NA,NA,NA,NA,"N"
"UTRL00101","148 W INDUSTRIAL DR","NON-POTW",-113.51224,37.11511,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRL00056","1485 N MAIN STREET","NON-POTW",-111.65466,40.12886,"Dry Creek-1","UT16020202-035_00","Dry Creek and tributaries from Utah Lake (Provo Bay) to Interstate 15","River/Stream","N"
"UTRH00379","1488 E DUGGAN DR","NON-POTW",-111.9995,40.3756,NA,NA,NA,NA,"N"
"UTRH03019","15 LINKS @ GREEN SPRINGS","NON-POTW",-113.486747,37.110988,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRH01973","150 WEST COTTAGE AVE, SANDY UT 84094","NON-POTW",-111.8957,40.5922,NA,NA,NA,NA,"N"
"UTRL00156","1500 FAIRFIELD RD","NON-POTW",-111.95091,41.0821,"Kays Creek","UT16020102-031_00","Kays Creek and tributaries from Farmington Bay to USFS boundary","River/Stream","N"
"UTRL00111","1500 NORTH KIRBY LANE","NON-POTW",-111.646775,40.1299,"Dry Creek-2","UT16020202-036_00","Dry Creek and tributaries from Interstate 15 to headwaters","River/Stream","N"
"UTR392895","1500 S - 2700 WEST TO REDWOOD ROAD SEWER REPLACEMENT PROJECT","NON-POTW",-111.93917,40.737705,NA,NA,NA,NA,"N"
"UTRC01811","1500 SOUTH RECONSTRUCT","NON-POTW",-111.9447,40.7378,NA,NA,NA,NA,"N"
"UTRL00057","1500 WEST 14300 SOUTH","NON-POTW",-111.93683,40.475821,NA,NA,NA,NA,"N"
"UTG070991","15000 SOUTH BETWEEN 1300 W. & 1400 W. SEWER PROJECT","NON-POTW",-111.93034,40.5259,NA,NA,NA,NA,"N"
"UTRL00183","1503 S. RIO VIRGIN DRIVE","NON-POTW",-113.48382,37.10989,"Virgin River-2","UT15010008-004_00","Virgin River and tributaries from Santa Clara River confluence to Quail Creek diversion, excluding Quail, Ash, and La Verkin Creeks","River/Stream","N"
"UTRH80815","15148 S BUCKSKIN POINT CIR","NON-POTW",-111.936521,40.47614,NA,NA,NA,NA,"N"
"UTRC01025","1523 E. CRESCENT DRIVE NORTH - BROWN RESIDENCE","NON-POTW",-111.4789,40.7494,"Silver Creek-2","UT16020101-020_02","Silver Creek and tributaries, from confluence with Tollgate Creek to headwaters","River/Stream","N"
"UTRL00236","1527 CHAPEL STREET","NON-POTW",-113.65453,37.133904,NA,NA,NA,NA,"N"
"UTRL00189","1538 E HILLCREST DR","NON-POTW",-113.62378,37.41873,"Santa Clara-3","UT15010008-003_00","Santa Clara River and tributaries from Baker Dam Reservoir to headwaters","River/Stream","N"
"UTRL00132","1538 W 9000 SOUTH","NON-POTW",-111.93574,40.5877,"Bingham Creek","UT16020204-023_00","Bingham Creek and tributaries from confluence with Jordan River to headwaters","River/Stream","N"
"UTRL00098","1538 WEST SHIELDS LAND","NON-POTW",-111.93452,40.57311,NA,NA,NA,NA,"N"
"UTRL00097","1538 WEST SHIELDS LAND","NON-POTW",-111.93452,40.57311,NA,NA,NA,NA,"N"
"UTRL00040","1539 EAST 1670 SOUTH","NON-POTW",-111.62855,40.08805,NA,NA,NA,NA,"N"
"UTRL00059","1550 N KIRBY LANE","NON-POTW",-111.64706,40.12954,"Dry Creek-2","UT16020202-036_00","Dry Creek and tributaries from Interstate 15 to headwaters","River/Stream","N"
"UTRH00051","15577 S ROSE CANYON","NON-POTW",-112.07915,40.46846,"Rose Creek","UT16020204-029_00","Rose Creek and tributaries from confluence with Jordan River to headwaters","River/Stream","N"
