"UID","OrganizationIdentifier","OrganizationFormalName","ProviderName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","IR_FLAG","IR_COMMENT","IR_MLID","MLID_Count","Lat_Count","Long_Count","sites100m_count","LatitudeMeasure","LongitudeMeasure","IR_Lat","IR_Long","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ValidationType"
59,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-TICA_3P_HCL","Hansen Cave Lake","Lake","This station is at Hansen Cave Lake. Hansen Cave Lake is located in the southwestern section of Timpanogos Cave National Monument. This station has an additional ID from USGS-NWIS of 402615111423901 with the station name of Hansen Cave Spring in Timpanogos Cave NM.","REVIEW","Manual review required","REVIEW",1,1,1,1,40.43704537,-111.7120945,NA,NA,16020201,NA,NA,NA,NA,24000,NA,NA,"Interpolation-Map","WGS84",NA,NA,NA,NA,NA,NA,"US",49,49,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
60,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-TICA_3P_MCP","Middle Cave Lake, Off-trail","Lake","This station is at Middle Cave Lake off of the trail, approximately 75 feet (23 meters) from the bridge. Middle Cave Lake is located in the southern section of Timpanogos Cave National Monument.","REVIEW","Manual review required","REVIEW",1,2,2,3,40.43792339,-111.7110104,NA,NA,16020201,NA,NA,NA,NA,24000,NA,NA,"Interpolation-Map","WGS84",NA,NA,NA,NA,NA,NA,"US",49,49,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
61,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-TICA_3P_MCVA","Middle Cave Lake Bridge","Lake","This station is at Middle Cave Lake Bridge. Middle Cave Lake is located in the southern section of Timpanogos Cave National Monument. This station has an additional ID from USGS-NWIS of 402617111423801 with the station name of Middle Cave Lake Bridge.","REVIEW","Manual review required","REVIEW",1,2,2,3,40.43792339,-111.7110104,NA,NA,16020201,NA,NA,NA,NA,24000,NA,NA,"Interpolation-Map","WGS84",NA,NA,NA,NA,NA,NA,"US",49,49,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
62,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-TICA_TFD_AFRMP","American Fork River, Macroinvertebrate & Pre-Event Station","River/Stream","This station is at American Fork River, Macroinvertebrate and Pre-Event Station. Macroinvertebrates were sampled on the American Fork River in 3 locations: 44.443344N/111.710580W, 40.443925N/111.705347W, and 40.444209N/111.705347W, and the samples were composited. This station is the approximate midpoint of the 3 sites, and 200 meters downstream of the Visitors Center. This station is also the approximate location for samples collected pre-event.","ACCEPT",NA,"11NPSWRD_WQX-TICA_TFD_AFRMP",1,1,1,0,40.443733,-111.707721,40.443733,-111.707721,16020201,NA,NA,NA,NA,NA,NA,NA,"Interpolation-Digital Map Source","WGS84",NA,NA,NA,NA,NA,NA,"US",49,49,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
63,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-TICA_TFD_AFRWS","American Fork River, Water & Sediment Station","River/Stream","This station is at American Fork River, Water and Sediment Station. This station is approximately 750 meters downstream of the Visitors Center. Sediment was sampled above and below the water line at this station.","ACCEPT",NA,"11NPSWRD_WQX-TICA_TFD_AFRWS",1,1,1,0,40.442092,-111.713598,40.442092,-111.713598,16020201,NA,NA,NA,NA,NA,NA,NA,"Interpolation-Digital Map Source","WGS84",NA,NA,NA,NA,NA,NA,"US",49,49,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
64,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-TICA_TFD_SFAFC","South Fork American Fork River, Control Station","River/Stream","This station is at South Fork American Fork River, Control Station for macroinvertebrate sampling. This site is approximately 1.25 kilometers upstream of its confluence with American Fork River.","ACCEPT",NA,"11NPSWRD_WQX-TICA_TFD_SFAFC",1,1,1,0,40.4494,-111.705347,40.4494,-111.705347,16020201,NA,NA,NA,NA,NA,NA,NA,"Interpolation-Digital Map Source","WGS84",NA,NA,NA,NA,NA,NA,"US",49,49,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
65,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-ZION_3P_4950920","North Creek at Planned Gage in Park","River/Stream","This station is at North Creek at planned gage in park. This site is approximately 600 meters downstream of the confluence of Left and Right Forks of North Creek in Zion National Park. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 371542113062401, North Creek at Planned Gage in Park; and Utah Dept. of Environmental Quality 4950920, North Ck at Planned Gage in Park.","REVIEW","Manual review required","REVIEW",1,1,1,1,37.26109313,-113.106333,NA,NA,15010008,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
66,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-ZION_3P_4951199","North Fork Virgin River below Temple of Sinawava","River/Stream","This station is at North Fork Virgin River below Temple of Sinawava. This site is just downstream of the Temple of Sinawava. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has additional IDs and station names: USGS-NWIS Site No. 371705112565001, North Fork Virgin River at Mouth of Narrows, UT; and Utah Dept. of Environmental Quality of 4951199, N Fk Virgin R bl Temple of Sinawava.","REVIEW","Manual review required","REVIEW",1,1,1,1,37.28447913,-112.9472634,NA,NA,15010008,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
67,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-ZION_3P_4951265","North Fork Virgin River at Wilderness Study Area Boundary","River/Stream","This station is at North Fork Virgin River at Wilderness Study Area Boundary. This site is approximately 1.9 kilometers north of Dakota Hill. This station has additional IDs and names: USGS NWIS Site No. 372214112525501, North Fork Virgin River at WSA Boundary, UT; and Utah Dept. of Environmental Quality No. 4951265, N Fk Virgin R at WSA Bndry.","REVIEW","Manual review required","REVIEW",1,2,2,1,37.3706,-112.882,NA,NA,15010008,NA,NA,NA,NA,0,NA,NA,"Interpolation-Map","WGS84",NA,NA,NA,NA,NA,NA,"US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
68,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-ZION_3P_9405500","North Fork Virgin River near Springdale, UT","River/Stream","The station is at North Fork Virgin River near Springdale, UT. This site is approximately 170 meters east of Zion National Park headquarters. This station has an additional ID from USGS-NWIS of 09405500 with the station name of North Fork Virgin River near Springdale, UT.","REVIEW","Manual review required","REVIEW",1,1,1,1,37.209611,-112.978447,NA,NA,15010008,NA,NA,NA,NA,0,NA,NA,"Interpolation-Map","WGS84",3970,"ft",NA,NA,"Topographic Map Interpolation","NGVD29","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
69,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-ZION_3P_GROTTO","The Grotto","Spring","The station is at The Grotto springs, approximately 400 meters north of Red Arch Mountain. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation. This station has an additional ID from USGS-NWIS of 371529112564801 with the station name of The Grotto.","REVIEW","Manual review required","REVIEW",1,1,1,1,37.2581061,-112.9467323,NA,NA,15010008,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
70,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-ZION_3P_MENUFSP","Menu Falls Spring","Spring","This station is at Menu Falls Spring, approximately 600 meters southeast of The Pulpit in the Temple of Sinawava.","ACCEPT",NA,"11NPSWRD_WQX-ZION_3P_MENUFSP",1,1,1,0,37.27989514,-112.9432509,37.27989514,-112.9432509,15010008,NA,NA,NA,NA,24000,NA,NA,"Interpolation-Map","WGS84",NA,NA,NA,NA,NA,NA,"US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
71,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-ZION_3P_TEMPLES","Temple of Sinawava Seep","Spring","This station is at Temple of Sinawava Seep at a pool at the base of the wall, approximately 400 meters northwest of the Pulpit. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation.","ACCEPT",NA,"11NPSWRD_WQX-ZION_3P_TEMPLES",1,1,1,0,37.2860276,-112.9509741,37.2860276,-112.9509741,15010008,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
72,"11NPSWRD_WQX","National Park Service Water Resources Division","STORET","11NPSWRD_WQX-ZION_3P_UEMERPS","Upper Emerald Pool Spring","Spring","This station is at Upper Emerald Pool Spring, approximately 100 feet (30 meters) above Upper Emerald Pool and 1200 feet (360 meters) north of Lady Mountain. Latitude and longitude coordinates were compiled from previous studies or topographic map interpolation.","ACCEPT",NA,"11NPSWRD_WQX-ZION_3P_UEMERPS",1,1,1,0,37.25749021,-112.9664162,37.25749021,-112.9664162,15010008,NA,NA,NA,NA,NA,NA,NA,"Unknown","WGS84",NA,NA,NA,NA,NA,NA,"US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
73,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-4933370","SW-05","River/Stream",NA,"ACCEPT",NA,"952307_WQX-4933370",1,1,1,0,39.84248778,-109.9160603,39.84248778,-109.9160603,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
74,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-4933440","SW-10","River/Stream",NA,"ACCEPT",NA,"952307_WQX-4933440",1,1,1,0,40.03125379,-109.7540634,40.03125379,-109.7540634,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
75,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-4933476","SW-09","River/Stream",NA,"REVIEW","Manual review required","REVIEW",1,1,1,1,40.07213946,-109.8575266,NA,NA,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
76,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-4933480","SW-08","River/Stream",NA,"ACCEPT",NA,"952307_WQX-4933480",1,1,1,0,40.08271047,-109.8737316,40.08271047,-109.8737316,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
77,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-4937020","SW-11","River/Stream",NA,"REVIEW","Manual review required","REVIEW",1,1,1,3,40.08496768,-109.6757471,NA,NA,14060010,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
78,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-Gate Canyon Spring 1","Gate Canyon Spring 1","Spring",NA,"REJECT",NA,"REJECT",NA,NA,NA,NA,39.84517772,110.2510321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
79,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-Rye Spring 1","Rye Spring 1","Spring",NA,"REJECT",NA,"REJECT",NA,NA,NA,NA,39.85681759,110.3234657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
80,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-Rye Spring 2","Rye Spring 2","Spring",NA,"REJECT",NA,"REJECT",NA,NA,NA,NA,39.85574659,110.3122857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
81,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-Rye Spring 3","Rye Spring 3","Spring",NA,"REJECT",NA,"REJECT",NA,NA,NA,NA,39.85453501,110.2910545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
82,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-Unnamed Spring 1","Unnamed Spring 1","Spring",NA,"ACCEPT",NA,"952307_WQX-Unnamed Spring 1",1,1,1,0,39.83973824,-109.9802662,39.83973824,-109.9802662,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
83,"952307_WQX","LT Environmental Inc.","STORET","952307_WQX-Unnamed Spring 2","Unnamed Spring 2","Spring",NA,"REVIEW","Manual review required","REVIEW",1,1,1,1,40.012526,-110.008013,NA,NA,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
84,"DEMOTEST","Test Organization","STORET","DEMOTEST-03G","03G","River/Stream",NA,"REJECT","Organization identifier indicates test/demo","REJECT",NA,NA,NA,NA,40.594,-111.72,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
85,"DEMOTEST","Test Organization","STORET","DEMOTEST-09A","09A","River/Stream",NA,"REJECT","Organization identifier indicates test/demo","REJECT",NA,NA,NA,NA,40.527,-111.755,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
86,"DEMOTEST","Test Organization","STORET","DEMOTEST-11D","11D","River/Stream",NA,"REJECT",NA,"REJECT",NA,NA,NA,NA,40.657,-111.77,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
87,"DEMOTEST","Test Organization","STORET","DEMOTEST-13A","13A","River/Stream",NA,"REJECT","Organization identifier indicates test/demo","REJECT",NA,NA,NA,NA,40.522,-112.149,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
88,"DEMOTEST","Test Organization","STORET","DEMOTEST-26A","26A","River/Stream",NA,"REJECT",NA,"REJECT",NA,NA,NA,NA,40.765,-111.848,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
89,"DEMOTEST","Test Organization","STORET","DEMOTEST-32C","32C","River/Stream",NA,"REJECT",NA,"REJECT",NA,NA,NA,NA,40.771,-111.892,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
90,"DEMOTEST","Test Organization","STORET","DEMOTEST-33A","33A","River/Stream",NA,"REJECT",NA,"REJECT",NA,NA,NA,NA,40.779,-112.099,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
91,"DEMOTEST","Test Organization","STORET","DEMOTEST-33B","33B","River/Stream",NA,"REJECT","Organization identifier indicates test/demo","REJECT",NA,NA,NA,NA,40.598,-111.685,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
92,"DEMOTEST","Test Organization","STORET","DEMOTEST-33D","33D","River/Stream",NA,"REJECT","Organization identifier indicates test/demo","REJECT",NA,NA,NA,NA,40.594,-111.72,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
93,"DEMOTEST","Test Organization","STORET","DEMOTEST-33E","33E","River/Stream",NA,"REJECT","Organization identifier indicates test/demo","REJECT",NA,NA,NA,NA,40.527,-111.755,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
94,"DEMOTEST","Test Organization","STORET","DEMOTEST-40C","40C","River/Stream",NA,"REJECT",NA,"REJECT",NA,NA,NA,NA,40.657,-111.77,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,35,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
